,Input,Output,Result
765,Ustadz USER memang penggemar &amp; penggerak olah raga bersepeda di Bekasi. MantaPKS! #20TahunPKS #Asyik,ustaz  penggemar amp penggerak olah raga bersepeda bekasi mantap 20 pks asyik,positive
766,USER Hehehe emang kampang fandom itu',hehe fandom,negative
767,USER naek onta kapan nyampe nya\xf0\x9f\x98\xa5',nya,negative
768,"USER Kalau orang2 yang bawa bom ngaku cuma ""ngetes pak pol"" ... Boleh juga Kali ya pak..hehe, apa kabar pa Ronald'",orang orang bawa bom mengakui mengetes pol kali ya hehe kabar ronald,negative
769,USER USER Akhlak mulia presiden USER kl bertemu kiai dan pinisepuh maka ia tak akan menggulung lengan kemejanya. Karena mereka memang sngat pantas dihormati.. .. *tabik,akhlak mulia presiden  bertemu kiai pinisepuh menggulung lengan kemejanya dihormati tabik,neutral
770,ios asw napada ]]',ios,negative
771,USER Yaudah gwe mau demo minta pak Jokowi ngekick palkjihun dari dunia.,ya gue demo jokowi menendang palkjihun dunia,negative
772,"USER Jele lo, udik.'",jelek,negative
773,USER Sy jg muak sm lu yg fitnah prabowo,muak fitnah prabowo,negative
774,"USER Aku ada kok.. di Kota Salatiga, Jawa Tengah. SMA Kristen 1 Salatiga'",kota salatiga jawa kristen 1 salatiga,negative
775,"#IklanAhokJahat baru ada direzim jokopret,setan,iblis,dajjal dibangkitkan dr kuburnya. Mereka gembira berpesta pora setelah lama dibelenggu",iklan ahok jahat jokowi dajjal dibangkitkan kuburnya gembira berpesta pora dibelenggu,negative
776,"USER Maraknya org\xc2\xb2 sipit masuk ke Indonesia hanya pengalihan. Hati\xc2\xb2lah justru kepada Syi'ah rafidhah, biang keroknya segala pemberontakan/kudeta negara\xc2\xb2 muslim ahlussunah di dunia""",maraknya orang masuk indonesia pengalihan hati syiah ah rafidhah biang keroknya pemberontakan kudeta negara muslim ahlusunah dunia,negative
777,Ketua DPR Dorong Inspirasi Kreatif Pemerintah Sesuai BudayaÂ Pancasila,ketua dewan perwakilan rakyat dorong inspirasi kreatif pemerintah sesuai budayaa pancasila,neutral
778,"Gubernur Ahmad Heryawan mengukir sejarah. Bandara super megah ""Kertajati"" dibangun dengan biaya mandiri tanpa menggunakan APBN, murni dikelola oleh Pemprov #JawaBarat. Ini sejarah baru infrastruktur bagi Indonesia.;",gubernur ahmad heryawan mengukir sejarah bandara super megah kertajati dibangun biaya mandiri anggaran pendapatan belanja negara murni dikelola pemerintah provinsi jawa barat sejarah infrastruktur indonesia,neutral
779,"Kristen Nusantara bukanlah suatu aliran baru dalam kekristenan. Tapi suatu gerakan utk mencegah faham radikalisme di bumiNusantara. Sperti halnya NU. Jgn biarkan hanya NU pemain tunggal mencegah faham radikalisme di NKRi tercinta ini., kita juga mari ter",kristen nusantara aliran kekristenan gerakan mencegah paham radikalisme bumi nusantara halnya nu biarkan nu pemain tunggal mencegah paham radikalisme negara kesatuan republik indonesia tercinta mari ter,negative
780,USER kaya TAI',kayak,negative
781,"&lt; bertanya-tanya, apa yang dirinya lakukan di kehidupan sebelumnya sampai-sampai harus bertemu dengan pria asing dan nenyebalkan ini? \n\nDi samping nada bicara sang teruna, Angie juga tidak senang dengan cara pria itu memanggilnya 'non'. Ia mengerti",lt lakukan kehidupan bertemu pria menyebalkan samping nada bicara sang teruna angie senang pria memanggilnya non mengerti,negative
782,RT USER Juga jago bakar isu PKI Komunis,jago bakar isu partai indonesia,negative
783,"WASPADA JATENG!!!; Indikasi akan ada mobilisasi massa dri luar jateng untk tamasya pilkada!!!; ; ""Temuan Panwas Brebes, Ada 1 NKK dengan 946 Anggota Keluarga""; USER; USER USER USER USER USER USER",waspada jawa indikasi mobilisasi massa jawa tamasya pilihan kepala daerah temuan panitia pengawas brebes 1 nkk 946 anggota keluarga,neutral
784,"USER USER Si joko pngen ttep populer buat pro-nas d jkt, si ahok jga g mw klah buat jga proyek2 lain d jkt, akhirnya 1 pmbngunan blom slsai tp udh bngun lgi yg lain d ruas2 utama yg sling brdekatan. Skrg cebong guoblok mlah nyalahin ani",sih joko populer pro nas jakarta sih ahok mw kalah proyek proyek jakarta 1 pembangunan selesai bangun ruas ruas utama berdekatan menyalahkan ani,negative
785,Bilang sama suami elo USER jangan cengeng suka blok orang oke. Katanya politisi top mantan timses kafir penista agama tapi kok kelakuan cemen. Katanya liberal tapi kok partisan ngehek.,bilang suami  cengeng suka blok orang oke politisi top mantan tim sukses penista agama kelakuan takut liberal partisan ngehek,negative
786,MEMANG ANAK ANJING KAMPANG',anak,negative
787,USER .... bani kampret .... bani kecebong........ pilih bani adam lah...... soale manusia',kecebong pilih adam manusia,negative
788,USER USER Kalau gw guna kan kampret kaga bisa ngeliat bro siang hari gimame si lollll',gue bro siang sih lollll,negative
789,"RT USER: Hei kunyuk USER, supaya ente paham ya? Prabowo Subianto jadi capres aja udah salah apalagi jadi presiden?! PS mem\xe2\x80\xa6'",hai  paham ya prabowo subianto calon presiden salah presiden play station mem,negative
790,Presiden Joko Widodo memutuskan untuk lebih realisitis dalam mengejar pembangunan Proyek Strategis Nasional (PSN).â?¦â?¦,presiden joko widodo memutuskan realisitis mengejar pembangunan proyek strategis nasional play station network a a,neutral
791,USER USER USER USER USER USER USER REZIM SALES REZIM PENIPU PENCITRAAN SEMUA PALSU',sales penipu pencitraan palsu,negative
792,USER Jijik gua cowo2 pake baju pink2\n\nPERNAH GUA NONTON VIDKEP KAN YA. GUA KIRA CEWE. KAKINYA MUNGIL. PAKE KAOS KAKI YANG SEPAHA ITU WARNA PINK. PAKE BAJU PINK YANG PANJANG SAMPE SEPAHA\n\nPAS DIBUKA ISINYA TITIT. ASUUUUU',gue cowok cowok pakai baju merah muda gue menonton video ya gue cewek kakinya mungil pakai kaos kaki sepaha warna merah muda pakai baju merah muda sepaha pas dibuka isinya asuuuuu,negative
793,"USER Sungguh""rezim KOPLAK..indonesia sedang sekarat..umat muslim sdg di pilah""oleh Allah SWT..antara golongan muslimin dan munafiqun.",sungguh kocak indonesia sekarat umat muslim pilah allah subhanahu wa taala golongan muslimin,negative
794,USER USER USER USER Jancuk \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',,negative
795,kalian ni ngapa sih nyinyirin yg hijrah padahal kan mrk cm maw nutupin koreng',nih sih nyinyir hijrah menutupi,negative
796,RT USER pakai paksa-paksa jokowi balikin semua penduduk rakhin. Emang prabowo pengangguran. Banyak politikus nganggur jadi omongnya ngawur,pakai paksa paksa jokowi kembalikan penduduk rakhine prabowo pengangguran politikus menganggur omongnya ngawur,negative
797,USER ntar jatohnya musyrik tar ak masuk neraka:((,jatuhnya musyrik tar masuk neraka,negative
798,Mendampingi JOKOWI Di HARLAH PMII Di BANDUNG.. CAK IMIN Balik JAKARTA dengan PESAWAT KEPRESIDENAN BERSAMA PRESIDEN.. JOIN 2019; ; #CakIminTheNextWapres; #JOIN2019; ; USER USER; USER USER USER USER USER USER,mendampingi jokowi harlah pergerakan mahasiswa islam indonesia bandung cak imin jakarta pesawat kepresidenan presiden join 2019 cak imin the next wakil presiden join 2019,positive
799,"USER Secara teknis dia baik mau balikin lu straight tapi cuma cara dia aja yg ga etis..gua bilang sama lu gimana sakitnya mantan ketika putus sama elu dia ada di jalur yg salah,hey bro gua ngalamin kok,setelah gua sama mantan gua putus,mantan gu",teknis kembalikan straight etis gue bilang sakitnya mantan putus jalur salah he bro gue mengalami gue mantan gue putus mantan gu,negative
800,USER Jualab kaos nggk laku kembali ke isu pki. Duhh gimana bisa maju',jualan kaos laku isu partai indonesia duh maju,negative
801,Jokowi USER Adalah Ahok Yang Tertunda siap-siap dipenjara juga ya pak URL,jokowi  ahok tertunda penjara ya,negative
802,"Rela Antre, Ribuan Pelamar Berburu Lowongan Kerja di Gedung Smesco",rela antre ribuan pelamar berburu lowongan kerja gedung small and medium enterprises and cooperatives,positive
803,Mengapa menggunakan bahasa Arab? Bukankah Tuhan YME menurut Pancasila berbahasa Indonesia?,bahasa arab tuhan maha esa pancasila berbahasa indonesia,negative
804,USER Tapi perdebatan spt ini memang tidak dapat dihindari. Sejarah gereja pun mencatat perpecahan pertama dalam gereja terjadi waktu konsili yerusalem karena hal ini: Apakah tradisi yahudi merupakan bagian dari ajaran kristiani atau tidak?',perdebatan surat pemberitahuan tahunan dihindari sejarah gereja mencatat perpecahan gereja konsili yerusalem tradisi yahudi ajaran kristiani,negative
805,Pantesan tim sukses Anies-Sandi ini kalo ngetwit ngaco sok jagoan,tim sukses anies sandi mentwit kacau sok jagoan,negative
806,"USER Apa kabar Boss-boss partai yang dia dukung ya? \nMenteri\xe2\x82\x82 perempuan? Komunis? \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nMungkin dia belum makan, Pak.'",kabar bos bos partai dukung ya menteri perempuan makan,negative
807,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'",cari yeoja chara seksi suka spam pic rep like ya draxe,negative
808,"USER Tiap berkicau makin keliatan tolol dan gobloknya, lbh tolol lg yg milih dia'",berkicau gobloknya memilih,negative
809,USER Oii turo bom? Kajakkk',oi turonggo bom kajakkk,negative
810,"Inggrid Widjanarko Mengabdikan Hidup untuk Seni, Budaya danÂ Sosial",inggris widjanarko mengabdikan hidup seni budaya dana sosial,neutral
811,"USER Setahu saya prambanan adalah candi hindu. (kelompok candi dieng, candi ungaran gedong songo dll). Borobudur adalah candi budha (kelompok sewu kalasan mendut dll).'",setahu prambanan candi hindu kelompok candi dieng candi ungaran gedong sanga borobudur candi buddha kelompok sewu kalasan mendut,negative
812,USER USER USER USER Waduh wanginya kek mbak kunti dong',wanginya kayak mbak,negative
813,USER USER Bong dungu.. Cuma video 31 detik langsung ambil kesimpulan.. Kagak heran dah klo lu d sbut dungu sekolam..',video 31 detik langsung ambil kesimpulan heran sekolam,negative
814,"Buat kalian yg pengen tau budaya Baduy, gue rencana Sabtu-minggu 14-15 April 2018 ke sana... palingan habis Rp300.000 an lah... kalo mau, kontak gue aja, kita jalan bareng. tp bkn #MaleTrip yaa; ;",tau budaya badui gue rencana sabtu minggu 14 15 april 2018 palingan habis rp300 000 an kontak gue jalan bareng male trip ya,positive
815,USER USER Hahahahaha... \nga ada orderan demo.. \nga ada nasi bungkus.. \nga ada perbaikan gizi.. \nTETAP IDIOT..!',haha orderan demo nasi bungkus perbaikan gizi,positive
816,USER USER Ketika generasi tinja sangat bahagia pemimpin nya bisa berkoar koar anti aseng di jaman pilkada dan ketika selesai pilkada pengikutnya membela bahwa tinja nya aseng enak',generasi tinja bahagia pemimpin nya berkoar koar anti jaman pilihan kepala daerah selesai pilihan kepala daerah pengikutnya membela tinja nya enak,negative
817,USER Betul..anak anak PKI mulai muncul mengikuti jejak bapaknya.,anak anak partai indonesia muncul mengikuti jejak bapaknya,negative
818,Sang maestro dan sang Capres/ cawapres RI 1 nih yg Pintar dan pro wong cillik dan tdk otoriter,sang maestro sang calon presiden calon wakil presiden ri 1 nih pintar pro orang otoriter,negative
819,banyak lagi yg dihadapai Bung karno sampai beliau jatuh dari jabatanya demi kedaulatan Indonesia. itu dikarenakan Dia yang keras menolak modal asing. #Freeport51',dihadapi karno beliau jatuh jabatannya kedaulatan indonesia keras menolak modal freeport 51,positive
820,"Ava uda jele gaje gini aja kalo ngetweet sa*** tetep rame yak.\nSet dah, emang kntl tu punya kepala tapi ga punya mata.'",ava jelek mentwit sa ramai ya set kepala mata,negative
821,"USER Hahahahahah babi migraine aku plak tweet, caring betul dkt babi. Ye lahh hg reply tweet aku lepas keluarkan brim td ni. Good timing'",haha migrain plak twit caring iya hg reply twit lepas keluarkan brim nih good timing,negative
822,"untung2an dan jangan sampai kami ngaku Komunis, ngaku Atheis,...'",untung untungan mengakui mengakui,negative
823,USER Menurut saya ente bule di rezim Jokowi ini cuma ada dua pilihan beri saham 51.38% atau 2021 angkat kaki dari bumi NKRI ..',bule jokowi pilihan saham 51 38 2021 angkat kaki bumi negara kesatuan republik indonesia,negative
824,"USER USER PALESTINA BELUM ADA Fakta : 29 November 1947 PBB menyetujui mengakhiri Mandat Britania Raya untuk Palestina. Dengan Resolusi PBB 181 yang didukung 33 negara, 13 negara menolak, dan 10 lainnya netral, wilayah tanah Palestin",palestina fakta 29 november 1947 pbb menyetujui mandat britania raya palestina resolusi pbb 181 didukung 33 negara 13 negara menolak 10 netral wilayah tanah palestina,negative
825,USER USER USER USER inherit agama bro.. nasib terberanak dlm islam.. ð???ð???.; ; kalau tak ntah. kahkahkah,inherit agama bro nasib terberanak islam haha,negative
826,RT USER makin lama bikin puyeng kepala itu pak prabowo sama amin rais itu om nada-nada bicaranya nggak bermutu.sama sekali,bikin puyeng kepala prabowo amin rais om nada nada bicaranya bermutu,negative
827,USER USER ganyang pki. mari kita dukung prabowo untuk 2019,ganyang partai indonesia mari dukung prabowo 2019,negative
828,USER Kalo sehati cacat dong?: (',sehati,negative
829,"USER USER USER USER USER USER USER USER Yang ku khawatirkan...\n\nKlo sampai TKA ini angkat senjata, atau ""menguasai"" desa (cuma tempat singgahan/markas (mungkin)...\n\nWilayah Indonesia Timur langs",ku khawatirkan tenaga kerja angkat senjata menguasai desa persinggahan markas wilayah indonesia timur langsung,negative
830,USER Ternyata dgn d takut2inya oleh tim komunis akn d KPK kan akhirnya TGB nyerah k pngkuan zionis PKIP..',menakutinya tim komisi pemberantasan korupsi tuan guru bajang menyerah k pengakuan zionis pkip,negative
831,"USER USER USER USER Sama bli senang punya saudara bli, kebetulan saya senang mempelajari Hindu Bali, untuk menambah wawasan.\nDan karya karya Gde Prama juga menarik untuk dibaca perluasan wawasan.'",beli senang saudara beli senang mempelajari hindu bali menambah wawasan karya karya gede prama menarik dibaca perluasan wawasan,positive
832,Adaloh orang yang suka nyinyirin pecun di timeline tapi ngelike postingan akun open BO. \xe2\x98\xba',lo orang suka nyinyir lini menyukai postingan akun open bo,negative
833,"USER Pak USER membuang Islam bisa jadi menyakitkan, tapi harus dilakukan demi kebaikan semua manusia", membuang islam menyakitkan kebaikan manusia,negative
834,USER USER Etnis cina memang ada yg ikut berjuang tapi lebih sangat banyak yg jadi penghianat jd antek belanda..,etnis cina berjuang pengkhianat belanda,negative
835,USER Lele jamban? Yg kuning kuning dong? :(',lele kuning kuning,negative
836,"Malam ini Kepala #BPIP menjadi Pembicara bersama Menteri Agama, Rektor UIN Sumut dan Habib Jindan bin Novel dlm Mengaji Indonesia ""Kita Indonesia, Kita Berbudaya"", UIN Sumut, (Medan, 11/4/18)",malam kepala badan pembinaan ideologi pancasila pembicara menteri agama rektor universitas islam negeri sumatra utara habib jindan bin novel mengaji indonesia indonesia berbudaya universitas islam negeri sumatra utara medan 11 4 18,negative
837,Bupati Jember Harapkan JFC 2018 jadi Semangat Geliat Ekonomi Kerakyatan.; ; Baca Selengkapnya Di:;,bupati jember harapkan jfc 2018 semangat geliat ekonomi kerakyatan baca selengkapnya,neutral
838,"USER Dari ngebunuh musuh, dari ngebunuh minion, dari ngebunuh turtle, dari ngebunuh monster hutan, dari assist, dari ngancurin turret, dll.\n\nAmbil, lu kata ML atm wkwkwkw kampret XD'",membunuh musuh membunuh minion membunuh kura kura membunuh monster hutan assist menghancurkan turet ambil ml atm wkwk xd,negative
839,"USER Ahok simulut jamban, tokoh yg punya nilai bahasa indonesia dan norma etika 0, tai kucing'",ahok si mulut tokoh nilai bahasa indonesia norma etika 0 kucing,negative
840,Mowaa mengatakan bahwa seluruh warga Nias akan memenangkan Djarot-Sihar di Pilkada Sumut 27 Juni nanti.; #NiasPilihDjoss,mowaa warga nias memenangkan djarot syiar pilihan kepala daerah sumatra utara 27 juni nias pilih djarot sihar,neutral
841,USER USER Apan jir?dahak?KWKWKW TOLOL',jir dahak wkwk,negative
842,"USER USER Terimakasih jokowi, semoga tahun depan Presiden baru bisa juga ada kebijakan yang lebih baik. Aaminn'",terima kasih jokowi semoga presiden kebijakan amin,positive
843,"USER Yah jawabannya goblok mas\n\nJaka Sembung kan bawa sepeda mau sekolah, masa bawa golok,gila nih orang tua nya'",ya jawabannya mas jaka sembung bawa sepeda sekolah bawa golok nih orang tua nya,negative
844,"Hebat itu kalau apa yang diucapkan tidak sampai maksud dan tujuan, terlalu sensi tanpa basa basi, urung ada sepatah kata silaturahmi maupun klarifikasi, perorangan, berjamaah nti selanjutnya viral dan jauh dari budaya toleransi ketimuran, eksistensi sesaat",hebat maksud tujuan sensitif basa basi urung sepatah silaturahmi klarifikasi perorangan berjemaah viral budaya toleransi ketimuran eksistensi,negative
845,USER USER USER Jika dulu tanpa Soeharto mungkin komunis sudah menguasai negeri ini. Agama tdk seperti skrng.,soeharto menguasai negeri agama,negative
846,UU Antiterorisme sudah disahkan DPR. Kini aparat keamanan sudah memiliki payung hukum utk bertindak tegas dalam memerangi teroris.',undang undang anti terorisme disahkan dewan perwakilan rakyat aparat keamanan memiliki payung hukum bertindak memerangi teroris,negative
847,RT USER Ahok Taik. \ MENFITNAH\ . Emang lu tukang caci maki perempuannn!! Asuuu AhokPastiTumbang DebatFinalPilkadaJKT,ahok memfitnah tukang caci maki perempuannn ahok tumbang debat final pemilihan kepala daerah jakarta,negative
848,USER USER USER Fungsi GST utk mengurangkan beban kebergantungan kpd hasil petroleum negara..lagipun idea pelaksanaan GST datangnya dari Bank Negara bukan parti BN sendiri #GelombangBiru;,fungsi goods and services tax mengurangkan beban kebergantungan hasil petroleum negara lagipun ide pelaksanaan goods and services tax datangnya bank negara party bn gelombang biru,negative
